Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 14 - Feature 602	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.086341	0.748017	0.363636	0.272727	84	117	102.147059	104	3473	Histogram-603.csv
Measurement 14 - Feature 603	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.241736	1.848985	0.888554	0.545455	0.545455	54	130	103.717949	107	12135	Histogram-604.csv
Measurement 14 - Feature 604	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.181818	2.429811	0.386992	0.954545	0.5	47	116	97.215909	104	8555	Histogram-605.csv
Measurement 14 - Feature 605	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.059917	1.01749	0.727281	0.318182	0.363636	98	128	107.206897	105	3109	Histogram-606.csv
Measurement 14 - Feature 606	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.464876	5.589571	0.186978	0.363636	2.590909	53	124	98.066667	104	22065	Histogram-607.csv
Measurement 14 - Feature 607	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.121901	2.132741	0.336775	0.454545	0.818182	90	116	105.423729	106	6220	Histogram-608.csv
Measurement 14 - Feature 608	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	2.281472	0.329214	1.045455	0.181818	94	123	104.818182	105	6918	Histogram-609.csv
Measurement 14 - Feature 609	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.099174	1.345755	0.688136	0.272727	0.5	64	127	104.25	106	5004	Histogram-610.csv
Measurement 14 - Feature 610	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.076446	1.214906	0.65085	0.409091	0.318182	68	107	95.837838	98	3546	Histogram-611.csv
Measurement 14 - Feature 611	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.082645	1.148339	0.787561	0.409091	0.318182	56	125	105.775	107	4231	Histogram-612.csv
Measurement 14 - Feature 612	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.109504	1.984011	0.349585	0.590909	0.727273	99	130	110.169811	107	5839	Histogram-613.csv
Measurement 14 - Feature 613	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.084711	1.691509	0.372049	0.545455	0.5	103	133	109.853659	108	4504	Histogram-614.csv
Measurement 14 - Feature 614	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	2.396332	0.298411	0.727273	0.863636	95	121	105.727273	105	6978	Histogram-615.csv
Measurement 14 - Feature 615	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.084711	1.228219	0.705662	0.318182	0.409091	107	132	112.121951	109	4597	Histogram-616.csv
Measurement 14 - Feature 616	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.11157	1.729165	0.468906	0.590909	0.5	100	131	109.537037	108	5915	Histogram-617.csv
Measurement 14 - Feature 617	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.099174	1.576258	0.501593	0.636364	0.318182	106	132	110.708333	107	5314	Histogram-618.csv
Measurement 14 - Feature 618	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.173554	2.201592	0.449956	0.909091	0.318182	83	133	108.214286	107	9090	Histogram-619.csv
Measurement 14 - Feature 619	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.247934	3.37845	0.272967	1.136364	1.045455	106	131	109.191667	107	13103	Histogram-620.csv
Measurement 14 - Feature 620	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.198347	2.757684	0.327753	0.909091	0.909091	96	133	108.8125	107	10446	Histogram-621.csv
Measurement 14 - Feature 621	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.904522	0.634681	0.318182	0.227273	89	119	102.7	102	2054	Histogram-622.csv
Measurement 14 - Feature 622	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	0.915552	0.867275	0.318182	0.272727	100	121	106	105	2968	Histogram-623.csv
Measurement 14 - Feature 623	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.152893	1.922012	0.520096	0.5	0.727273	80	129	105.743243	107	7825	Histogram-624.csv
Measurement 14 - Feature 624	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.192149	3.254454	0.227977	1.272727	0.727273	63	112	99.225806	101	9228	Histogram-625.csv
Measurement 14 - Feature 625	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.06405	0.982118	0.834447	0.272727	0.318182	106	132	111.258065	107	3449	Histogram-626.csv
Measurement 14 - Feature 626	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	2.030803	0.434388	0.363636	0.818182	100	129	110.15942	107	7601	Histogram-627.csv
Measurement 14 - Feature 627	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.214876	2.860014	0.330112	0.409091	1.227273	65	128	103.548077	106	10769	Histogram-628.csv
Measurement 14 - Feature 628	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.173554	2.367813	0.388999	1	0.363636	68	133	103.202381	105	8669	Histogram-629.csv
Measurement 14 - Feature 629	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.07438	1.310383	0.54434	0.5	0.181818	101	129	107.916667	107	3885	Histogram-630.csv
Measurement 14 - Feature 630	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.786987	0.838416	0.272727	0.227273	96	113	104.3	105	2086	Histogram-631.csv
