Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 11 - Feature 487	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.384298	3.23468	0.461546	1.090909	0.545455	41	143	98.258065	105	18276	Histogram-488.csv
Measurement 11 - Feature 488	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.146694	1.42335	0.909912	0.409091	0.409091	37	140	101.43662	107	7202	Histogram-489.csv
Measurement 11 - Feature 489	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.092975	1.166221	0.859044	0.318182	0.318182	41	134	102.555556	108	4615	Histogram-490.csv
Measurement 11 - Feature 490	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.345755	0.903178	0.363636	0.409091	20	119	87.174603	102	5492	Histogram-491.csv
Measurement 11 - Feature 491	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.295455	2.05743	0.877103	0.545455	0.636364	54	152	107.587413	108	15385	Histogram-492.csv
Measurement 11 - Feature 492	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.409091	2.523004	0.807595	0.636364	0.818182	54	164	108.378788	108	21459	Histogram-493.csv
Measurement 11 - Feature 493	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.140496	1.410037	0.887999	0.409091	0.409091	69	147	109.455882	108	7443	Histogram-494.csv
Measurement 11 - Feature 494	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.10124	1.190563	0.897544	0.318182	0.363636	64	171	110.102041	108	5395	Histogram-495.csv
Measurement 11 - Feature 495	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.157025	1.527573	0.845618	0.5	0.363636	79	159	111.631579	107	8484	Histogram-496.csv
Measurement 11 - Feature 496	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.150826	1.538602	0.800635	0.409091	0.5	33	161	101.150685	104	7384	Histogram-497.csv
Measurement 11 - Feature 497	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.080579	1.061998	0.897804	0.318182	0.272727	37	166	109.692308	107	4278	Histogram-498.csv
Measurement 11 - Feature 498	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.25713	0.854295	0.363636	0.318182	101	159	118.923077	113	6184	Histogram-499.csv
Measurement 11 - Feature 499	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.743802	4.094694	0.557473	1	1.5	27	167	93.925	102	33813	Histogram-500.csv
Measurement 11 - Feature 500	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.173554	1.658422	0.792965	0.454545	0.454545	31	126	95.630952	107	8033	Histogram-501.csv
Measurement 11 - Feature 501	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.103306	1.230503	0.857372	0.318182	0.363636	77	140	114.18	111	5709	Histogram-502.csv
Measurement 11 - Feature 502	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.173554	1.631795	0.819054	0.5	0.409091	40	169	111.857143	108	9396	Histogram-503.csv
Measurement 11 - Feature 503	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.084711	1.059714	0.947918	0.318182	0.318182	41	156	106.829268	106	4380	Histogram-504.csv
Measurement 11 - Feature 504	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	1.412321	0.859095	0.363636	0.409091	61	147	106.287879	107	7015	Histogram-505.csv
Measurement 11 - Feature 505	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.235537	1.824643	0.889025	0.454545	0.590909	25	160	108.929825	107	12418	Histogram-506.csv
Measurement 11 - Feature 506	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.163223	1.538602	0.866441	0.454545	0.454545	98	197	120.43038	110	9514	Histogram-507.csv
Measurement 11 - Feature 507	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.471074	2.651569	0.841964	0.863636	0.681818	33	140	100.381579	107	22887	Histogram-508.csv
Measurement 11 - Feature 508	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.595041	3.066175	0.795359	1.090909	0.681818	31	138	96.46875	105	27783	Histogram-509.csv
