Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 10 - Feature 259	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.285124	3.775566	0.25135	1.5	0.727273	83	116	102.413043	104	14133	Histogram-260.csv
Measurement 10 - Feature 260	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.11157	1.667167	0.504429	0.636364	0.363636	66	117	100.444444	104	5424	Histogram-261.csv
Measurement 10 - Feature 261	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.68048	0.478081	0.636364	0.363636	104	134	111.365385	109	5791	Histogram-262.csv
Measurement 10 - Feature 262	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.407025	5.274228	0.183871	1.227273	1.909091	64	131	103.187817	105	20328	Histogram-263.csv
Measurement 10 - Feature 263	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.904959	9.045225	0.138995	2.863636	1.772727	66	129	105.246575	107	46098	Histogram-264.csv
Measurement 10 - Feature 264	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.456612	5.904131	0.164606	0.636364	2.636364	79	129	108.321267	107	23939	Histogram-265.csv
Measurement 10 - Feature 265	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.229339	3.046009	0.310617	1.227273	0.681818	55	125	99.612613	103	11057	Histogram-266.csv
Measurement 10 - Feature 266	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	2.090517	0.409927	0.727273	0.590909	83	113	101.463768	103	7001	Histogram-267.csv
Measurement 10 - Feature 267	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.179752	2.483064	0.36636	1.045455	0.409091	71	122	104.091954	105	9056	Histogram-268.csv
Measurement 10 - Feature 268	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.258264	3.524897	0.261205	0.818182	1.363636	88	126	107.408	106	13426	Histogram-269.csv
Measurement 10 - Feature 269	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.163223	2.319128	0.381366	0.227273	1.045455	86	128	105.227848	105	8313	Histogram-270.csv
Measurement 10 - Feature 270	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.115702	1.758076	0.470411	0.5	0.545455	88	112	104.928571	106	5876	Histogram-271.csv
Measurement 10 - Feature 271	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.225207	3.028127	0.308633	1.090909	0.909091	71	120	102.284404	105	11149	Histogram-272.csv
Measurement 10 - Feature 272	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.225207	2.988579	0.316856	0.5	1.227273	65	124	101.559633	103	11070	Histogram-273.csv
Measurement 10 - Feature 273	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.36157	4.649285	0.210199	0.363636	2.045455	78	132	104.2	106	18235	Histogram-274.csv
