Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 16 - Feature 114	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.802584	0.806145	0.272727	0.181818	100	131	108.6	106	2172	Histogram-115.csv
Measurement 16 - Feature 115	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.049587	0.933433	0.71517	0.318182	0.181818	99	125	107.958333	106	2591	Histogram-116.csv
Measurement 16 - Feature 116	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.150623	0.823659	0.318182	0.363636	105	129	107.857143	105	4530	Histogram-117.csv
Measurement 16 - Feature 117	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.103306	1.682764	0.458446	0.181818	0.727273	87	120	105.38	106	5269	Histogram-118.csv
Measurement 16 - Feature 118	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.751615	0.781308	0.227273	0.181818	104	120	106.411765	105	1809	Histogram-119.csv
Measurement 16 - Feature 119	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.066116	0.995432	0.838478	0.272727	0.318182	102	130	109.78125	107	3513	Histogram-120.csv
Measurement 16 - Feature 120	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	2.225935	0.330126	0.909091	0.272727	63	123	105.174603	107	6626	Histogram-121.csv
Measurement 16 - Feature 121	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.059917	1.099654	0.622659	0.363636	0.272727	94	109	102.758621	104	2980	Histogram-122.csv
Measurement 16 - Feature 122	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.146694	1.527573	0.789985	0.318182	0.545455	90	122	105.492958	105	7490	Histogram-123.csv
Measurement 16 - Feature 123	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.146694	1.882072	0.520416	0.545455	0.681818	89	119	103.760563	105	7367	Histogram-124.csv
Measurement 16 - Feature 124	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.097107	1.265875	0.761519	0.363636	0.409091	98	131	109.659574	107	5154	Histogram-125.csv
Measurement 16 - Feature 125	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.159091	2.044116	0.478458	0.318182	0.863636	44	106	89.285714	93	6875	Histogram-126.csv
Measurement 16 - Feature 126	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	1.822358	0.476899	0.727273	0.318182	78	107	100.295082	102	6118	Histogram-127.csv
Measurement 16 - Feature 127	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.198347	2.245709	0.49423	0.818182	0.590909	103	129	109.479167	108	10510	Histogram-128.csv
Measurement 16 - Feature 128	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.469008	4.627227	0.275264	0.318182	2.090909	83	117	102.273128	103	23216	Histogram-129.csv
Measurement 16 - Feature 129	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.21281	2.542778	0.413604	0.590909	1	81	107	99.92233	102	10292	Histogram-130.csv
Measurement 16 - Feature 130	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.039256	0.775958	0.819298	0.227273	0.227273	84	107	100	100	1900	Histogram-131.csv
Measurement 16 - Feature 131	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.225207	2.451869	0.470757	0.954545	0.590909	91	107	101.697248	103	11085	Histogram-132.csv
Measurement 16 - Feature 132	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.762644	0.892792	0.227273	0.227273	96	123	105.25	104	2105	Histogram-133.csv
Measurement 16 - Feature 133	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.070743	0.792614	0.318182	0.363636	98	107	103.057143	103	3607	Histogram-134.csv
Measurement 16 - Feature 134	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.134298	2.336618	0.309102	0.636364	0.818182	74	134	104.046154	105	6763	Histogram-135.csv
Measurement 16 - Feature 135	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.09737	0.90554	0.318182	0.363636	94	107	102	102	4284	Histogram-136.csv
