coupon_id	Area	Perimeter	Circularity	Height	Width	type	filament	cocci	rod	site	substrate
D1T10cont	0.13843	1.642824	0.644551	0.363636	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.177686	1.97755	0.570963	0.772727	0.409091	cell	0	0	1	D1	sand
D1T10cont	0.144628	1.498662	0.809199	0.454545	0.454545	cell	0	1	0	D1	sand
D1T10cont	0.216942	2.334334	0.500297	0.863636	0.636364	cell	0	0	1	D1	sand
D1T10cont	0.245868	2.571689	0.467169	0.545455	1	cell	0	0	1	D1	sand
D1T10cont	0.590909	5.622658	0.234881	2.5	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.770661	7.240748	0.184717	1.272727	3	cell	0	0	1	D1	sand
D1T10cont	0.303719	3.076812	0.403162	1.045455	1.045455	cell	0	0	1	D1	sand
D1T10cont	0.266529	2.708999	0.45639	0.863636	0.863636	cell	0	0	1	D1	sand
D1T10cont	0.67562	6.317952	0.212696	2.363636	1.727273	cell	0	0	1	D1	sand
D1T10cont	0.347107	3.500554	0.355959	1.045455	1.090909	cell	0	0	1	D1	sand
D1T10cont	0.417355	4.044116	0.320678	1.772727	0.409091	cell	0	0	1	D1	sand
D1T10cont	0.836777	6.601709	0.241272	1.818182	1.772727	cell	0	0	1	D1	sand
D1T10cont	0.28719	3.008353	0.398769	0.727273	1.136364	cell	0	0	1	D1	sand
D1T10cont	0.355372	3.558376	0.352687	1.454545	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.61157	5.83528	0.225701	0.863636	2.5	cell	0	0	1	D1	sand
D1T10cont	0.376033	3.735626	0.338617	1.545455	0.681818	cell	0	0	1	D1	sand
D1T10cont	0.196281	2.2190820000000002	0.500889	0.590909	0.818182	cell	0	0	1	D1	sand
D1T10cont	0.431818	4.163153	0.313088	1.318182	1.409091	cell	0	0	1	D1	sand
D1T10cont	0.615702	5.692618	0.238757	1.909091	1.909091	cell	0	0	1	D1	sand
D1T10cont	0.376033	3.739802	0.337861	1	1.409091	cell	0	0	1	D1	sand
D1T10cont	0.262397	2.711283	0.448558	0.681818	1	cell	0	0	1	D1	sand
D1T10cont	0.466942	4.4381640000000004	0.297897	1.681818	1.136364	cell	0	0	1	D1	sand
D1T10cont	0.309917	3.101546	0.404855	1	0.863636	cell	0	0	1	D1	sand
D1T10cont	0.291322	2.970697	0.414827	0.636364	1.181818	cell	0	0	1	D1	sand
D1T10cont	1.043388	9.626443	0.141489	2.272727	3.272727	cell	0	0	1	D1	sand
D1T10cont	0.177686	1.97755	0.570963	0.727273	0.454545	cell	0	0	1	D1	sand
D1T10cont	0.264463	2.780134	0.429975	1.045455	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.049587	0.891209	0.784542	0.227273	0.318182	cell	0	1	0	D1	sand
D1T10cont	0.088843	1.135026	0.866606	0.363636	0.363636	cell	0	1	0	D1	sand
D1T10cont	0.200413	2.18371	0.528136	0.863636	0.454545	cell	0	0	1	D1	sand
D1T10cont	0.559917	3.87522	0.468534	1.454545	0.909091	cell	0	0	1	D1	sand
D1T10cont	0.262397	2.748939	0.436353	1	0.727273	cell	0	0	1	D1	sand
D1T10cont	0.363636	3.445409	0.384942	0.409091	1.5	cell	0	0	1	D1	sand
D1T10cont	0.266529	2.708999	0.45639	0.681818	1.045455	cell	0	0	1	D1	sand
D1T10cont	0.25	2.500554	0.502432	0.772727	0.863636	cell	0	0	1	D1	sand
D1T10cont	0.305785	3.083665	0.404103	1.090909	0.863636	cell	0	0	1	D1	sand
D1T10cont	1.491736	13.522937	0.102508	5.181818	3.363636	cell	0	0	1	D1	sand
D1T10cont	0.429752	4.24114	0.300236	0.954545	1.545455	cell	0	0	1	D1	sand
D1T10cont	0.130165	1.554199	0.67716	0.227273	0.636364	cell	0	0	1	D1	sand
D1T10cont	0.417355	3.981334	0.330871	1.363636	1.272727	cell	0	0	1	D1	sand
D1T10cont	0.225207	2.392155	0.494552	0.409091	1	cell	0	0	1	D1	sand
D1T10cont	0.078512	1.033087	0.92443	0.318182	0.318182	cell	0	1	0	D1	sand
D1T10cont	0.285124	2.9551	0.410298	0.681818	1.181818	cell	0	0	1	D1	sand
D1T10cont	0.157025	1.511975	0.863155	0.409091	0.5	cell	0	1	0	D1	sand
D1T10cont	0.311983	3.046401	0.422442	1.363636	0.272727	cell	0	0	1	D1	sand
D1T10cont	0.262397	2.764537	0.431443	1.045455	0.636364	cell	0	0	1	D1	sand
D1T10cont	0.216942	2.279188	0.5248	1	0.272727	cell	0	0	1	D1	sand
D1T10cont	0.245868	2.569405	0.468	1	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.464876	4.433596	0.29719	1.227273	1.681818	cell	0	0	1	D1	sand
D1T10cont	0.311983	3.187887	0.385776	0.772727	1.227273	cell	0	0	1	D1	sand
D1T10cont	0.446281	4.325589	0.299728	0.545455	1.863636	cell	0	0	1	D1	sand
D1T10cont	0.301653	2.968805	0.430085	1.318182	0.272727	cell	0	0	1	D1	sand
D1T10cont	0.615702	5.830319	0.227612	2	1.727273	cell	0	0	1	D1	sand
D1T10cont	0.780992	7.036088	0.198241	2.454545	2.181818	cell	0	0	1	D1	sand
D1T10cont	0.964876	8.216014	0.179622	2.363636	1.681818	cell	0	0	1	D1	sand
D1T10cont	0.487603	4.666383	0.281395	1.363636	1.681818	cell	0	0	1	D1	sand
D1T10cont	0.456612	4.403184	0.295953	1.954545	0.5	cell	0	0	1	D1	sand
D1T10cont	0.487603	4.660314	0.282128	2.090909	0.545455	cell	0	0	1	D1	sand
D1T10cont	0.661157	6.220974	0.214683	0.818182	2.409091	cell	0	0	1	D1	sand
D1T10cont	0.522727	5.023559	0.260293	1.090909	2	cell	0	0	1	D1	sand
D1T10cont	0.243802	2.611629	0.449183	1	0.545455	cell	0	0	1	D1	sand
D1T10cont	0.035124	0.736018	0.814774	0.272727	0.181818	cell	0	1	0	D1	sand
D1T10cont	0.070248	1.008745	0.867522	0.272727	0.318182	cell	0	1	0	D1	sand
D1T10cont	0.090909	1.17725	0.82429	0.454545	0.227273	cell	0	1	0	D1	sand
D1T10cont	0.617769	5.910199	0.222245	2.227273	1.5	cell	0	0	1	D1	sand
D1T10cont	0.179752	1.999608	0.564929	0.545455	0.727273	cell	0	0	1	D1	sand
D1T10cont	1.152893	10.317952	0.136085	4.409091	1.318182	cell	0	0	1	D1	sand
D1T10cont	0.338843	3.271943	0.397738	1.090909	1.090909	cell	0	0	1	D1	sand
D1T10cont	0.198347	2.181426	0.523787	0.818182	0.545455	cell	0	0	1	D1	sand
D1T10cont	0.847107	5.961168	0.299561	2	1.272727	cell	0	0	1	D1	sand
D1T10cont	0.510331	4.9551	0.26119	2.090909	0.772727	cell	0	0	1	D1	sand
D1T10cont	0.489669	4.67552	0.281484	1.318182	1.545455	cell	0	0	1	D1	sand
D1T10cont	0.119835	1.279188	0.920288	0.363636	0.409091	cell	0	1	0	D1	sand
D1T10cont	0.17562	1.926581	0.594578	0.772727	0.363636	cell	0	0	1	D1	sand
D1T10cont	0.020661	0.556484	0.838416	0.181818	0.136364	cell	0	1	0	D1	sand
D1T10cont	0.132231	1.567513	0.676273	0.590909	0.272727	cell	0	0	1	D1	sand
D1T10cont	0.105372	1.359068	0.71689	0.5	0.272727	cell	0	1	0	D1	sand
D1T10cont	0.202479	2.197024	0.527134	0.863636	0.454545	cell	0	0	1	D1	sand
D1T10cont	0.132231	1.551915	0.689935	0.272727	0.636364	cell	0	0	1	D1	sand
D1T10cont	0.146694	1.474319	0.848085	0.363636	0.5	cell	0	1	0	D1	sand
D1T10cont	0.477273	4.589179	0.284778	1	1.727273	cell	0	0	1	D1	sand
D1T10cont	0.35124	4.285257	0.240359	1.681818	1	cell	0	0	1	D1	sand
D1T10cont	0.196281	2.130457	0.543429	0.818182	0.5	cell	0	0	1	D1	sand
D1T10cont	0.043388	0.749331	0.971038	0.227273	0.227273	cell	0	1	0	D1	sand
D1T10cont	0.109504	1.214906	0.932299	0.363636	0.363636	cell	0	1	0	D1	sand
D1T10cont	0.617769	5.719244	0.237333	2.045455	1.772727	cell	0	0	1	D1	sand
D1T10cont	2.167355	19.096586	0.074684	0.727273	8.909091	cell	1	0	0	D1	sand
D1T10cont	0.621901	5.896886	0.224743	2.045455	1.681818	cell	0	0	1	D1	sand
D1T10cont	1.950413	17.487566	0.080145	6.136364	3.545455	cell	1	0	0	D1	sand
D1T10cont	0.045455	0.789271	0.916927	0.227273	0.227273	cell	0	1	0	D1	sand
D1T10cont	0.609504	5.763753	0.230556	1.590909	2.136364	cell	0	0	1	D1	sand
D1T10cont	1.429752	12.991188	0.106457	4	3.363636	cell	0	0	1	D1	sand
D1T10cont	0.342975	3.461006	0.359806	0.318182	1.545455	cell	0	0	1	D1	sand
D1T10cont	0.506198	4.715068	0.286124	1.681818	1.454545	cell	0	0	1	D1	sand
D1T10cont	0.117769	1.410037	0.744352	0.545455	0.272727	cell	0	1	0	D1	sand
D1T10cont	0.134298	1.587287	0.669834	0.454545	0.545455	cell	0	0	1	D1	sand
D1T10cont	0.053719	0.84024	0.956161	0.272727	0.227273	cell	0	1	0	D1	sand
D1T10cont	0.508264	4.848201	0.27173	1.818182	1.318182	cell	0	0	1	D1	sand
D1T10cont	0.280992	2.861906	0.431114	0.863636	1	cell	0	0	1	D1	sand
D1T10cont	1.619835	14.521437	0.09653	5.272727	3.136364	cell	1	0	0	D1	sand
D1T10cont	0.157025	1.846701	0.578609	0.545455	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.407025	3.970305	0.324476	1.181818	1.409091	cell	0	0	1	D1	sand
D1T10cont	0.194215	2.179142	0.51395	0.727273	0.681818	cell	0	0	1	D1	sand
D1T10cont	0.369835	3.671735	0.344727	0.318182	1.590909	cell	0	0	1	D1	sand
