Sequence_ID	biosample_accession
1f8f7db17cfd9c0ed8d11ff9c4228edd	SAMN12684819
1f9ad14148fe47c13a28b890eb263eea	SAMN12684770
1fa154678d44c9c10a65429a795ac2d3	SAMN12684770
1fcaaba96501babaee9be981da63148b	SAMN12684770
1fce7f23287559818c5d928c575e2a25	SAMN12684770
1fedc261f6b0880dc120302d298d5606	SAMN12684770
1fee48d07ec34de55c713b70aa2278b6	SAMN12684819
1ff79987e4e15a42bb1ec126c7304abd	SAMN12684770
20445fd6df97aff9d798f5992b24b231	SAMN12684770
206017e63dd283c81b8048e1f08e7005	SAMN12684770
206588c22b850a2c2d06463915235895	SAMN12684819
2068ac6bf66672da13b5ba21a5cc61e8	SAMN12684770
20b74e4b3cc20b129097a6a6bdbf4225	SAMN12684770
20ef8c7f55e2119ef5999451289488a8	SAMN12684770
2104670a2f4c97612ecf0ca3c52e6481	SAMN12684770
210bccb2776d44e77218b51e61ce3a9b	SAMN12684819
212afc2cf9fd4a93efa93997241f7741	SAMN12684819
214a4eb221ed7e8729013f11906c87f1	SAMN12684819
21a43e9be7db127bca9f7a5f43bab5a7	SAMN12684770
21b4aea55988833b6bf3fb5115ed2c8d	SAMN12684770
21c677696fda7e5d0ca587aadf215868	SAMN12684770
21db9e22dcc0ad3ae437128074673d6d	SAMN12684770
21dc431dda60d574c5d333361410cfa2	SAMN12684770
21f346acca91abbafd38c807a0c244bb	SAMN12684770
2227a36996833486e5a12eadb7f77a21	SAMN12684770
224362986098a98e8b6accaac4d8e412	SAMN12684770
225c08bfbcfcc597b8918f3edd7e03fc	SAMN12684819
22714d1d10cff45b1e764dd800dc5a94	SAMN12684770
2290e62283fce1e0a772e1af93bb877c	SAMN12684819
2293407cb7ba644f7472c5ed07e09c7c	SAMN12684770
22af1bc9eebcd079dd5fc1e448f99665	SAMN12684819
22c4392e63cbf8b69e23fa24ecedc225	SAMN12684819
22d2b966d6dcf8e51c79a494fd15f183	SAMN12684770
22d44cf4b7cd665193cbd2d9ec6e3646	SAMN12684770
22edeea1b8ddde96ba797214763a8a83	SAMN12684770
22eef39be51ad484473f4ac89a7f9762	SAMN12684819
2324e88fa2f552b42f9e9d22d094d645	SAMN12684770
2334df3cd0386b39d049cc1bb3edda0e	SAMN12684770
2358efba0298a5090de651d2bf04a785	SAMN12684770
235f49c41cb87a91f005ed9f8ebc2b6b	SAMN12684770
2367fbd982612db03a4f285e4166b34a	SAMN12684770
236b9df9795739f0fc18caa8f83daddc	SAMN12684770
236d519dcc8cb52a0828515c2dece695	SAMN12684819
237856fef680e0ab9323493d8ca57d3f	SAMN12684770
2388fbf8e8cd0f59c7d1bce6f9a97a2b	SAMN12684770
23ad50a30797600f4ce51d5201102abf	SAMN12684770
23aec4e17dc075d540feddbe0b7a0fd4	SAMN12684770
23aeeeb6c5aacfff66dcbf63cee8957e	SAMN12684770
240103a788190b9d651b9261a7a59b61	SAMN12684819
240f007625f67553e08e2f86e13f6f9b	SAMN12684770
